timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778138136.6872,1.5001,-1012,-0.0047,0.0,0.000,0
1778138136.6954,1.5084,306,0.0014,0.0,0.000,0
1778138136.7075,1.5204,-1073,-0.0050,0.0,0.000,0
1778138136.7160,1.5289,-528,-0.0025,0.0,0.000,0
1778138136.7243,1.5372,-201,-0.0009,0.0,0.000,0
1778138136.7362,1.5492,-1054,-0.0049,0.0,0.000,0
1778138136.7448,1.5577,248,0.0012,0.0,0.000,0
1778138136.7568,1.5698,-1027,-0.0048,0.0,0.000,0
1778138136.7652,1.5782,-508,-0.0024,0.0,0.000,0
1778138136.7772,1.5901,-234,-0.0011,0.0,0.000,0
1778138136.7857,1.5987,-1101,-0.0051,0.0,0.000,0
1778138136.7940,1.6069,290,0.0014,0.0,0.000,0
1778138136.8061,1.6190,-1025,-0.0048,0.0,0.000,0
1778138136.8144,1.6274,-232,-0.0011,0.0,0.000,0
1778138136.8266,1.6395,-146,-0.0007,0.0,0.000,0
1778138136.8353,1.6482,-1157,-0.0054,0.0,0.000,0
1778138136.8473,1.6602,265,0.0012,0.0,0.000,0
1778138136.8554,1.6683,-1152,-0.0054,0.0,0.000,0
1778138136.8639,1.6768,-195,-0.0009,0.0,0.000,0
1778138136.8760,1.6889,-245,-0.0011,0.0,0.000,0
1778138136.8877,1.7007,-1109,-0.0052,0.0,0.000,0
1778138136.8962,1.7092,176,0.0008,0.0,0.000,0
1778138136.9045,1.7175,-1031,-0.0048,0.0,0.000,0
1778138136.9167,1.7296,-220,-0.0010,0.0,0.000,0
1778138136.9254,1.7383,-301,-0.0014,0.0,0.000,0
1778138136.9371,1.7501,-989,-0.0046,0.0,0.000,0
1778138136.9456,1.7586,225,0.0010,0.0,0.000,0
1778138136.9574,1.7704,-1166,-0.0054,0.0,0.000,0
1778138136.9660,1.7790,-424,-0.0020,0.0,0.000,0
1778138136.9746,1.7875,-277,-0.0013,0.0,0.000,0
1778138136.9862,1.7991,-988,-0.0046,0.0,0.000,0
1778138136.9949,1.8079,143,0.0007,0.0,0.000,0
1778138137.0068,1.8198,-1086,-0.0051,0.0,0.000,0
1778138137.0155,1.8285,-372,-0.0017,0.0,0.000,0
1778138137.0270,1.8400,-239,-0.0011,0.0,0.000,0
1778138137.0356,1.8486,-970,-0.0045,0.0,0.000,0
1778138137.0476,1.8605,200,0.0009,0.0,0.000,0
1778138137.0566,1.8696,-824,-0.0038,0.0,0.000,0
1778138137.0680,1.8810,-372,-0.0017,0.0,0.000,0
1778138137.0767,1.8896,130,0.0006,0.0,0.000,0
1778138137.0847,1.8977,-1159,-0.0054,0.0,0.000,0
1778138137.0968,1.9097,242,0.0011,0.0,0.000,0
1778138137.1050,1.9180,-847,-0.0039,0.0,0.000,0
